Using GATK jar /scratch2/cropbio/stoecker/WGS_WGGC/WES_WGGC_2021_AG_Schoof/.snakemake/conda/c9dd5efd9313c76cc841b8b834a238c7/share/gatk4-4.1.4.1-1/gatk-package-4.1.4.1-local.jar
Running:
    java -Dsamjdk.use_async_io_read_samtools=false -Dsamjdk.use_async_io_write_samtools=true -Dsamjdk.use_async_io_write_tribble=false -Dsamjdk.compression_level=2 -jar /scratch2/cropbio/stoecker/WGS_WGGC/WES_WGGC_2021_AG_Schoof/.snakemake/conda/c9dd5efd9313c76cc841b8b834a238c7/share/gatk4-4.1.4.1-1/gatk-package-4.1.4.1-local.jar ApplyBQSR -R resources/genome.fasta -I results/dedup/NA12878.bwa.sorted.bam --bqsr-recal-file results/recal/NA12878.bwa.grp -O results/recal/NA12878.bwa.sorted.bam
09:28:44.002 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/scratch2/cropbio/stoecker/WGS_WGGC/WES_WGGC_2021_AG_Schoof/.snakemake/conda/c9dd5efd9313c76cc841b8b834a238c7/share/gatk4-4.1.4.1-1/gatk-package-4.1.4.1-local.jar!/com/intel/gkl/native/libgkl_compression.so
Aug 13, 2021 9:28:44 AM shaded.cloud_nio.com.google.auth.oauth2.ComputeEngineCredentials runningOnComputeEngine
INFO: Failed to detect whether we are running on Google Compute Engine.
09:28:44.281 INFO  ApplyBQSR - ------------------------------------------------------------
09:28:44.282 INFO  ApplyBQSR - The Genome Analysis Toolkit (GATK) v4.1.4.1
09:28:44.282 INFO  ApplyBQSR - For support and documentation go to https://software.broadinstitute.org/gatk/
09:28:44.282 INFO  ApplyBQSR - Executing as stoecker@cs03 on Linux v5.4.0-66-generic amd64
09:28:44.282 INFO  ApplyBQSR - Java runtime: OpenJDK 64-Bit Server VM v1.8.0_282-b08
09:28:44.282 INFO  ApplyBQSR - Start Date/Time: August 13, 2021 9:28:43 AM UTC
09:28:44.282 INFO  ApplyBQSR - ------------------------------------------------------------
09:28:44.282 INFO  ApplyBQSR - ------------------------------------------------------------
09:28:44.283 INFO  ApplyBQSR - HTSJDK Version: 2.21.0
09:28:44.283 INFO  ApplyBQSR - Picard Version: 2.21.2
09:28:44.283 INFO  ApplyBQSR - HTSJDK Defaults.COMPRESSION_LEVEL : 2
09:28:44.283 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
09:28:44.283 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
09:28:44.283 INFO  ApplyBQSR - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
09:28:44.283 INFO  ApplyBQSR - Deflater: IntelDeflater
09:28:44.283 INFO  ApplyBQSR - Inflater: IntelInflater
09:28:44.283 INFO  ApplyBQSR - GCS max retries/reopens: 20
09:28:44.283 INFO  ApplyBQSR - Requester pays: disabled
09:28:44.283 INFO  ApplyBQSR - Initializing engine
09:28:44.552 INFO  ApplyBQSR - Done initializing engine
09:28:44.571 INFO  ProgressMeter - Starting traversal
09:28:44.572 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
09:35:24.858 INFO  ProgressMeter -           1:90480245              6.7              24345000        3649140.9
09:35:34.866 INFO  ProgressMeter -           1:92773434              6.8              24957000        3649626.9
09:35:44.881 INFO  ProgressMeter -           1:95060276              7.0              25569000        3650028.9
09:35:54.890 INFO  ProgressMeter -           1:97460249              7.2              26180000        3650323.7
09:36:04.893 INFO  ProgressMeter -           1:99789693              7.3              26791000        3650663.2
09:36:14.898 INFO  ProgressMeter -          1:102026536              7.5              27400000        3650688.6
09:36:24.912 INFO  ProgressMeter -          1:104392442              7.7              28011000        3650934.0
09:36:34.920 INFO  ProgressMeter -          1:106826233              7.8              28624000        3651424.1
09:36:44.927 INFO  ProgressMeter -          1:109097192              8.0              29226000        3650550.1
09:36:54.932 INFO  ProgressMeter -          1:111324571              8.2              29833000        3650338.5
09:37:04.935 INFO  ProgressMeter -          1:113583389              8.3              30445000        3650749.6
09:37:14.941 INFO  ProgressMeter -          1:115887678              8.5              31057000        3651123.0
09:37:24.951 INFO  ProgressMeter -          1:118188867              8.7              31670000        3651569.3
09:37:34.954 INFO  ProgressMeter -          1:120581915              8.8              32287000        3652506.4
09:37:44.969 INFO  ProgressMeter -          1:122932170              9.0              32888000        3651537.7
09:37:54.969 INFO  ProgressMeter -          1:124534975              9.2              33499000        3651800.4
09:38:04.983 INFO  ProgressMeter -          1:125179874              9.3              34101000        3650999.0
09:38:14.988 INFO  ProgressMeter -          1:125182926              9.5              34699000        3649862.6
09:38:24.990 INFO  ProgressMeter -          1:143214207              9.7              35319000        3651064.7
09:38:35.005 INFO  ProgressMeter -          1:143220837              9.8              35924000        3650615.1
09:38:45.007 INFO  ProgressMeter -          1:143255819             10.0              36532000        3650553.3
09:38:55.012 INFO  ProgressMeter -          1:144531840             10.2              37134000        3649897.9
09:39:05.017 INFO  ProgressMeter -          1:146747897             10.3              37732000        3648864.9
09:39:15.032 INFO  ProgressMeter -          1:148915615             10.5              38329000        3647717.5
09:39:25.033 INFO  ProgressMeter -          1:151121254             10.7              38925000        3646592.1
09:39:35.047 INFO  ProgressMeter -          1:153340218             10.8              39522000        3645520.6
09:39:45.053 INFO  ProgressMeter -          1:155532271             11.0              40125000        3645076.3
09:39:55.055 INFO  ProgressMeter -          1:157730504             11.2              40726000        3644477.2
09:40:05.069 INFO  ProgressMeter -          1:160001984             11.3              41328000        3643925.0
09:40:15.079 INFO  ProgressMeter -          1:162057864             11.5              41926000        3643062.3
09:40:25.092 INFO  ProgressMeter -          1:164346577             11.7              42527000        3642465.6
09:40:35.100 INFO  ProgressMeter -          1:166610706             11.8              43119000        3641151.4
09:40:45.116 INFO  ProgressMeter -          1:168831541             12.0              43719000        3640504.5
09:40:55.121 INFO  ProgressMeter -          1:171085561             12.2              44318000        3639843.0
09:41:05.122 INFO  ProgressMeter -          1:173330753             12.3              44919000        3639376.1
09:41:15.126 INFO  ProgressMeter -          1:175553576             12.5              45518000        3638752.2
09:41:25.130 INFO  ProgressMeter -          1:177876613             12.7              46120000        3638381.3
09:41:35.130 INFO  ProgressMeter -          1:180163438             12.8              46729000        3638584.0
09:41:45.144 INFO  ProgressMeter -          1:182378137             13.0              47330000        3638101.3
